┌────────────┬──────────────┬──────┐
│    Date    │ AveragePrice │ year │
├────────────┼──────────────┼──────┤
│ 2015-12-27 │ 1.33         │ 2015 │
│ 2015-12-20 │ 1.35         │ 2015 │
│ 2015-10-04 │ 1.31         │ 2015 │
│ 2015-09-20 │ 1.33         │ 2015 │
│ 2015-08-23 │ 1.34         │ 2015 │
│ 2015-08-16 │ 1.33         │ 2015 │
│ 2015-08-02 │ 1.45         │ 2015 │
│ 2015-07-05 │ 1.35         │ 2015 │
│ 2015-06-28 │ 1.37         │ 2015 │
│ 2015-06-14 │ 1.32         │ 2015 │
│ 2015-05-17 │ 1.43         │ 2015 │
│ 2015-12-27 │ 1.35         │ 2015 │
│ 2015-12-20 │ 1.37         │ 2015 │
│ 2015-12-13 │ 1.35         │ 2015 │
│ 2015-11-29 │ 1.39         │ 2015 │
└────────────┴──────────────┴──────┘
